,playlist_id,playlist_name,position,album_name,album_id,album_release_date,album_artists,album_artists_ids,album_artists_genres,album_artists_popularity,album_artists_followers,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_artist,release_date_datetime,release_year,chart_year,main_genre
866,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,175,Egypt Station,3uLrSFrNqa8CULSIU7e9v5,2018-09-07,['Paul McCartney'],['4STHEaNw4mPZ2tzheohgXB'],"[['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']]",[77],[3840453],Come On To Me,4s5yT9UpT01SQosyMM777r,47,['Paul McCartney'],['4STHEaNw4mPZ2tzheohgXB'],"[['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']]",[77],False,[3840453],0.675,0.874,0,0.026,-3.294,1,0.0357,0.0,0.148,0.789,93.284,250548,4,Paul McCartney,2018-09-07,2018,2018,Rock
867,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,176,The Rest of Our Life,4VKhC1dO9LPiKc1N7TJHRx,2017-11-17,"['Tim McGraw', 'Faith Hill']","['6roFdX1y5BYSbp60OTJWMd', '25NQNriVT2YbSW80ILRWJa']","[['contemporary country', 'country', 'country road'], ['contemporary country', 'country', 'country dawn', 'country road', 'dance pop']]","[75, 68]","[3842421, 1467610]",The Rest of Our Life,19P6cJstaoQJHtHW3HOGcg,62,"['Tim McGraw', 'Faith Hill']","['6roFdX1y5BYSbp60OTJWMd', '25NQNriVT2YbSW80ILRWJa']","[['contemporary country', 'country', 'country road'], ['contemporary country', 'country', 'country dawn', 'country road', 'dance pop']]","[75, 68]",False,"[3842421, 1467610]",0.617,0.468,2,0.0291,-6.908,1,0.65,0.0,0.141,0.333,119.921,225360,3,Tim McGraw,2017-11-17,2017,2018,Country
868,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,177,YSIV,1lyjkFTJ6yxUyNYysWVBo9,2018-09-28,['Logic'],['4xRYI6VqpkE3UwrDrAZL8L'],"[['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']]",[81],[5605069],One Day (ft. Ryan Tedder),7rKKh8AGVXuNXgLBpTBTFH,49,"['Logic', 'Ryan Tedder']",['4xRYI6VqpkE3UwrDrAZL8L'],"[['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']]",[81],True,[5605069],0.546,0.871,10,0.148,-5.81,1,0.139,8.28e-05,0.104,0.303,189.723,198107,4,Logic,2018-09-28,2018,2018,Hip-hop
869,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,178,AI YoungBoy,278c24ae4JsSRpOEzlaghQ,2017-08-04,['YoungBoy Never Broke Again'],['7wlFDEWiM5OoIAt8RSli8b'],"[['baton rouge rap', 'trap']]",[87],[8104576],No Smoke,57IRaiAB4hBZu3gnNVZC0v,66,['YoungBoy Never Broke Again'],['7wlFDEWiM5OoIAt8RSli8b'],"[['baton rouge rap', 'trap']]",[87],True,[8104576],0.658,0.736,9,0.308,-6.097,0,0.113,0.0,0.0978,0.804,143.966,160000,4,YoungBoy Never Broke Again,2017-08-04,2017,2018,Hip-hop
870,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,180,I Can Only Imagine (The Very Best of Mercyme),59otDm8VOY0qYT51x4kgzu,2018-02-02,['MercyMe'],['6APm8EjxOHSYM5B4i3vT3q'],"[['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'worship']]",[65],[1359563],I Can Only Imagine,3uMBM9QJsJaxXYNb57QpUA,17,['MercyMe'],['6APm8EjxOHSYM5B4i3vT3q'],"[['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'worship']]",[65],False,[1359563],0.405,0.587,4,0.0469,-6.115,1,0.0785,0.0,0.0816,0.154,159.513,250760,4,MercyMe,2018-02-02,2018,2018,Christian
871,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,183,Ripcord,1IbfOjLqUSkhtXLpX31WZq,2016-05-06,['Keith Urban'],['0u2FHSq3ln94y5Q57xazwf'],"[['australian country', 'australian pop', 'contemporary country', 'country', 'country road']]",[74],[4504480],Blue Ain't Your Color,6wycnu8FWXsj68ig7BEot9,69,['Keith Urban'],['0u2FHSq3ln94y5Q57xazwf'],"[['australian country', 'australian pop', 'contemporary country', 'country', 'country road']]",[74],False,[4504480],0.69,0.416,7,0.0335,-7.865,1,0.617,1.37e-06,0.102,0.479,82.45,230600,3,Keith Urban,2016-05-06,2016,2018,Country
872,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,27,Ripcord,1IbfOjLqUSkhtXLpX31WZq,2016-05-06,['Keith Urban'],['0u2FHSq3ln94y5Q57xazwf'],"[['australian country', 'australian pop', 'contemporary country', 'country', 'country road']]",[74],[4504480],Blue Ain't Your Color,6wycnu8FWXsj68ig7BEot9,69,['Keith Urban'],['0u2FHSq3ln94y5Q57xazwf'],"[['australian country', 'australian pop', 'contemporary country', 'country', 'country road']]",[74],False,[4504480],0.69,0.416,7,0.0335,-7.865,1,0.617,1.37e-06,0.102,0.479,82.45,230600,3,Keith Urban,2016-05-06,2016,2017,Country
873,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,184,Fifty Shades Freed (Original Motion Picture Soundtrack),4w0N1CaZwQ5RPIuawqlYyy,2018-02-09,['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],[1447145],Heaven,1T575AhHueYinKSDflEsGK,74,['Julia Michaels'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],False,[1447145],0.552,0.371,7,0.0359,-9.104,0,0.857,0.0,0.0838,0.245,199.843,191787,3,Julia Michaels,2018-02-09,2018,2018,Soundtrack
874,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,185,FUTURE,17FBoXK1NU2rvJBbzdzw0r,2017-06-30,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],"[['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[91],[11044152],Mask Off,0VgkVdmE4gld66l8iyGjgx,82,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],"[['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[91],True,[11044152],0.833,0.434,2,0.431,-8.795,1,0.0102,0.0219,0.165,0.281,150.062,204600,4,Future,2017-06-30,2017,2018,Hip-hop
875,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,15,FUTURE,17FBoXK1NU2rvJBbzdzw0r,2017-06-30,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],"[['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[91],[11044152],Mask Off,0VgkVdmE4gld66l8iyGjgx,82,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],"[['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[91],True,[11044152],0.833,0.434,2,0.431,-8.795,1,0.0102,0.0219,0.165,0.281,150.062,204600,4,Future,2017-06-30,2017,2017,Hip-hop
