,playlist_id,playlist_name,chart_position,album_release_date,release_year,release_date_datetime,album_id,album_artist,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,album_name,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_artist,track_artist_id,track_artist_popularity,track_artist_followers,track_artists_genres_consolidate,main_genre,Soundtrack,Rock,Pop,Hip-hop,Edm,Latin,Indie,Christian,Country,Soul,Metal,Jazz,Folk,Funk,Misc,Easy_listening,R&B,Reggae,Show_tunes,No Genre Assigned
4753,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,98,2020-06-19,2020,2020-06-19,4Iqfx63CZhFGGIHiAvLxXY,Gabby Barrett,Got Me (feat. Shane & Shane),0jPyxhlX59YdIqCc0soDwR,48,"['Gabby Barrett', 'Shane & Shane']",['6Iz3eq2aQGFf7TbGT2iahL'],"['contemporary country', 'country pop']",[69],False,[203684],Goldmine,0.541,0.335,7,0.0307,-6.651,1,0.209,0.0,0.115,0.204,119.227,235904,3,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,69,203684,"['Country', 'Pop']",Country,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15063,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,30,2016-11-04,2016,2016-11-04,22rp3PnM3q2mtTI0OGCzpq,The Chainsmokers,Inside Out,4GdYM1hIvRfK8keBF2eQ1a,48,"['The Chainsmokers', 'Charlee']",['69GGBxA162lTqCwzJG5jLp'],"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",[83],False,[18713444],Collage EP,0.549,0.652,7,0.0311,-5.875,0,0.00289,1.49e-05,0.138,0.141,143.963,233573,4,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,83,18713444,"['Pop', 'Edm', 'Pop', 'Pop', 'Pop', 'Edm']",Pop,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14873,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,104,2017-04-14,2017,2017-04-14,2FoY0AdBnIYxOH7Z2arD89,Post Malone,Good Life (with G-Eazy & Kehlani),0ydclOeBAOXAYJJOmMQfDx,48,"['G-Eazy', 'Kehlani']",['0LyfQWJT6nXafLPZqxe9Of'],[],[0],False,[1448560],The Fate of the Furious: The Album,0.572,0.778,1,0.233,-5.208,1,0.00638,0.0,0.0563,0.54,168.073,225520,4,G-Eazy,0LyfQWJT6nXafLPZqxe9Of,0,1448560,[],Soundtrack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14238,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,151,2017-08-25,2017,2017-08-25,66Y5XaoFSoa0A4P0u56s8V,Old Dominion,Be with Me,7mFNmurtskRmkxR01mYPfx,48,['Old Dominion'],['6y8XlgIV8BLlIg1tT1R10i'],"['contemporary country', 'country', 'country road']",[70],False,[1130161],Happy Endings,0.657,0.862,8,0.0275,-5.048,1,0.52,0.0,0.152,0.849,104.031,169813,4,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,70,1130161,"['Country', 'Country', 'Country']",Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14386,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,160,2017-06-22,2017,2017-06-22,3HhZbSJdhOqMSaRbEt3gtw,DJ Khaled,To the Max (feat. Drake),2of5xn0GU0TdFneR1saRLH,48,"['DJ Khaled', 'Drake']",['0QHgL1lAIqAw0HtD7YldmP'],"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",[81],True,[6981434],Grateful,0.461,0.812,10,0.241,-5.776,0,0.0184,0.000375,0.21,0.72,159.869,193902,4,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,81,6981434,"['Pop', 'Hip-hop', 'Hip-hop', 'Pop', 'Hip-hop', 'Hip-hop', 'Hip-hop', 'Hip-hop']",Pop,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14409,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,31,2017-06-22,2017,2017-06-22,3HhZbSJdhOqMSaRbEt3gtw,DJ Khaled,To the Max (feat. Drake),2of5xn0GU0TdFneR1saRLH,48,"['DJ Khaled', 'Drake']",['0QHgL1lAIqAw0HtD7YldmP'],"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",[81],True,[6981434],Grateful,0.461,0.812,10,0.241,-5.776,0,0.0184,0.000375,0.21,0.72,159.869,193902,4,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,81,6981434,"['Pop', 'Hip-hop', 'Hip-hop', 'Pop', 'Hip-hop', 'Hip-hop', 'Hip-hop', 'Hip-hop']",Pop,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15428,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,84,2016-09-09,2016,2016-09-09,64IFfMf7W67CLvXaYeRNB6,Jason Aldean,Whiskey'd Up,1sGdnwgcaUgKv9pEVGYqI9,48,['Jason Aldean'],['3FfvYsEGaIb52QPXhg4DcH'],"['contemporary country', 'country', 'country road']",[78],False,[4994499],They Don't Know,0.536,0.899,11,0.0439,-4.393,0,0.119,3.86e-06,0.331,0.507,138.043,191547,4,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,78,4994499,"['Country', 'Country', 'Country']",Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14545,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,174,2017-02-22,2017,2017-02-22,3o09FMrUQ5TVBUYb6msCMi,Ella Mai,Makes Me Wonder,4zwZhQnqJTr1rQ9wRY3nNr,48,['Ella Mai'],['7HkdQ0gt53LP4zmHsL0nap'],"['dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']",[73],False,[4078640],READY,0.728,0.487,8,0.122,-7.559,1,0.079,0.0,0.204,0.371,99.983,210826,4,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,73,4078640,"['Pop', 'Pop', 'R&B', 'Hip-hop', 'R&B', 'R&B', 'R&B']",Pop,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
331,1EEazdcjH0keT4sttGvH8c,Billboard 200 Top Albums 2020,5,2020-07-24,2020,2020-07-24,0xS0iOtxQRoJvfcFcJA5Gv,Taylor Swift,peace,6rTUr8OpU5kcSqLGL2TmyR,48,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],['pop'],[98],False,[48097228],folklore,0.651,0.269,5,0.0983,-12.912,1,0.918,2.17e-05,0.0918,0.334,150.033,234000,4,Taylor Swift,06HL4z0CvFAxyc27GXpf02,98,48097228,['Pop'],Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14859,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,195,2017-04-14,2017,2017-04-14,2FoY0AdBnIYxOH7Z2arD89,Post Malone,Good Life (with G-Eazy & Kehlani),0ydclOeBAOXAYJJOmMQfDx,48,"['G-Eazy', 'Kehlani']",['0LyfQWJT6nXafLPZqxe9Of'],[],[0],False,[1448560],The Fate of the Furious: The Album,0.572,0.778,1,0.233,-5.208,1,0.00638,0.0,0.0563,0.54,168.073,225520,4,G-Eazy,0LyfQWJT6nXafLPZqxe9Of,0,1448560,[],Soundtrack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
